"index_origin","author","time","toefl","gre_total","gre_v","gre_q","gre_aw","district","season","type","offertype","major_school_apply","major_school","gpa","graduated","gre_raw","gre_sub","extrainfo","college_apply","major_apply","college_before","major_before","cross","gpa_measure","rl","intern","research","paper","first","sci","exchange","College_apply_new","Top100_college_apply","CollegeRank","CollegeRankTop50","Districts","Before_CollegeRank","major_apply_new","gre_total_new","Standardgap","gre_total_dis","toefl_dis","gpa_dis"
329,"taoyanqiu",17,102,"324","","","3.5"," 美国","Fall","MS","Admitted","Stat/Biostat@Biostat @Upenn，Columbia，Duke，Umichi，Yale，Emory（半奖）"," 生命医科工学 @ 早稻田大学",4,"","324 3.5","","","Duke","Stat/Biostat","早稻田大学","生命医科工学",0,4,0,0,0,0,0,0,0,"Duke University","Duke University","Top10_50","Top50","EastCoast","Others","Stat/Biostat",324,4,"322~325","98~102",">3.7"
329,"taoyanqiu",17,102,"324","","","3.5"," 美国","Fall","MS","Admitted","Stat/Biostat@Biostat @Upenn，Columbia，Duke，Umichi，Yale，Emory（半奖）"," 生命医科工学 @ 早稻田大学",4,"","324 3.5","","","Yale","Stat/Biostat","早稻田大学","生命医科工学",0,4,0,0,0,0,0,0,0,"Yale University","Yale University","Top10_50","Top50","EastCoast","Others","Stat/Biostat",324,4,"322~325","98~102",">3.7"
345,"james47",17,107,"325","157","168","3.5"," 美国","Fall","MS","Admitted","CS@ucsd"," cs @ 天津大学",89,"","157+168+3.5",""," 算法竞赛、腾讯实习","ucsd","CS","天津大学","CS",0,100,0,1,0,0,0,0,0,"University of California","University of California","Top10_50","Top50","WestCoast, AK, HI","Top100~500","CS",325,3.56,"322~325",">106","3.55~3.7"
348,"三十六度五分",17,92,"313","","","3"," 美国","Fall","MS","Admitted","CS@CS@SCU"," 软件工程 @ 中南大学",3.42,": 计算机软件与理论 @ 中国科学院大学, GPA  : ","313+3","","","SCU","CS","中南大学","SE",0,4,0,0,0,0,0,0,0,"Santa Clara University","Santa Clara University","Others","Others","WestCoast, AK, HI","Others","CS",313,3.42,"<=319","<=98","3.4~3.55"
388,"Pennymeng",17,102,"325","158","167","3"," 美国","Fall","MS","Admitted","CS@cs@Upitt"," SE @ DLUT",3.7,"","158+167+3.0","","","Upitt","CS","DLUT","SE",0,4,0,0,0,0,0,0,0,"University of Pittsburgh","University of Pittsburgh","Others","Others","EastCoast","Others","CS",325,3.7,"322~325","98~102","3.55~3.7"
390,"kier",17,107,"327","159","168","3.5"," 美国","Fall","MS","Admitted","Envir@Georgia Institute of Technology"," 林产化工 @ 北京林业大学",3.79,"","V159 Q168 +3.5","","","Georgia Institute of Technology","Envir","北京林业大学","林产化工",0,4,0,0,0,0,0,0,0,"Georgia Institute of Technology","Georgia Institute of Technology","Others","Others","EastCoast","Others","Others",327,3.79,">325",">106",">3.7"
393,"ttsyg",17,102,"320","150","170","4"," 美国","Fall","MS","Rejected","CS@CS@USC"," 软件工程 @ 同济",90.17,"","150 + 170 + 4","","","USC","CS","同济","SE",0,100,0,1,0,0,0,0,0,"University of Southern California","University of Southern California","Others","Others","WestCoast, AK, HI","Top100~500","CS",320,3.6068,"319~322","98~102","3.55~3.7"
404,"BellRandom",17,105,"322","","",""," 美国","Fall","MS","Admitted","MIS@Pitt"," 自动化 @ SCAU",3.5,"","322","","","Pitt","MIS","SCAU","IEOR",0,4,0,0,0,0,0,0,0,"University of Pittsburgh","University of Pittsburgh","Others","Others","EastCoast","Others","MIS",322,3.5,"319~322","102~106","3.4~3.55"
424,"局座本人",17,94,"320","150","170","3"," 美国","Fall","MS","Admitted","MIS@UIUC"," E-commerce Engineering @ BUPT",79,"","150+170+3","","","UIUC","MIS","BUPT","E-commerce Engineering",0,100,0,0,0,0,0,0,0,"University of Illinois at Urbana-Champaign","University of Illinois at Urbana-Champaign","Others","Others","MidWest","Others","MIS",320,3.16,"319~322","<=98","<=3.4"
435,"nhqgoal",17,102,"325","","",""," 美国","Fall","MS","Admitted","CS@SCU"," 环境工程 @ buaa",2.53,"","325","","","SCU","CS","buaa","环境工程",0,4,0,0,0,0,0,0,0,"Santa Clara University","Santa Clara University","Others","Others","WestCoast, AK, HI","Others","CS",325,2.53,"322~325","98~102","<=3.4"
436,"zec",17,105,"323","154","169","3"," 美国","Fall","MS","Rejected","CS@USC"," CS @ Tongji University",90.4,"","154+169+3 150+170+4","","","USC","CS","TongjiUniversity","CS",1,100,0,0,0,0,0,0,0,"University of Southern California","University of Southern California","Others","Others","WestCoast, AK, HI","Others","CS",323,3.616,"322~325","102~106","3.55~3.7"
483,"jerrychang333",17,110,"319","152","167","4"," 美国","Fall","MS","Admitted","Stat/Biostat@Epidemiology@Columbia"," 预防医学 @ 上海交通大学医学院",3.52,"","V152+Q167+AW4.0",""," 学校老师普通推","Columbia","Stat/Biostat","上海交通大学医学院","预防医学",0,4,0,0,0,0,0,0,0,"Columbia University","Columbia University","Top10_50","Top50","EastCoast","Others","Stat/Biostat",319,3.52,"<=319",">106","3.4~3.55"
485,"ljhnick",17,105,"321","","","3.5"," 美国","Fall","MS","Admitted","ME@UCLA"," NAOE @ SJTU",3.48,"","321+3.5","","","UCLA","ME","SJTU","NAOE",0,4,0,0,0,0,0,0,0,"University of California","University of California","Top10_50","Top50","WestCoast, AK, HI","Top100","ME",321,3.48,"319~322","102~106","3.4~3.55"
537,"Victor940829",17,94,"318","149","169","3"," 美国","Fall","MS","Admitted","CE@NEU"," 建筑电气与智能化 @ 南工大",87.1,"","149+169+3",""," 数学建模国赛一等/大创课题","NEU","CE","南工大","建筑电气与智能化",0,100,0,0,0,0,0,0,0,"Northeastern University","Northeastern University","Others","Others","EastCoast","Others","CE",318,3.484,"<=319","<=98","3.4~3.55"
556,"jeremyxuqitao",17,100,"316","148","168","3.5"," 美国","Fall","MS","Rejected","CS@USC"," CS @ USTB",85.6,"","316(148+168)+3.5",""," 无","USC","CS","USTB","CS",1,100,0,0,0,0,0,0,0,"University of Southern California","University of Southern California","Others","Others","WestCoast, AK, HI","Others","CS",316,3.424,"<=319","98~102","3.4~3.55"
565,"埃及土豆鱼",17,93,"315","145","170","3.5"," 美国","Fall","MS","Admitted","Material@University of Pittsburgh"," 材料科学与工程 @ 西南交通大学",3.42,"","145+170+3.5  315+3.5",""," SCI 四作 无牛推","University of Pittsburgh","Material","西南交通大学","材料科学与工程",0,4,0,0,0,1,0,1,0,"University of Pittsburgh","University of Pittsburgh","Others","Others","EastCoast","Others","Material",315,3.42,"<=319","<=98","3.4~3.55"
566,"埃及土豆鱼",17,93,"315","145","170","3.5"," 美国","Fall","MS","Admitted","Material@University of Washington"," 材料科学与工程 @ 西南交通大学",3.42,"","145+170+3.5    315+3.5",""," SCI 四作  无牛推","University of Washington","Material","西南交通大学","材料科学与工程",0,4,0,0,0,1,0,1,0,"University of Washington","University of Washington","Others","Others","EastCoast","Others","Material",315,3.42,"<=319","<=98","3.4~3.55"
599,"atlanmeng",17,101,"325","155","170","3.5"," 美国","Fall","MS","Rejected","EE@Cornell"," 应用物理 @ UESTC",3.95,"","155+170+3.5","","","Cornell","EE","UESTC","应用物理",0,4,0,0,1,0,0,0,0,"Cornell University","Cornell University","Top10_50","Top50","EastCoast","Others","EE",325,3.95,"322~325","98~102",">3.7"
601,"tcsx",17,105,"325","155","170","3"," 美国","Fall","MS","Admitted","MIS@NEU"," 汉语言 @ HUST",3.3,"","155+170+3","","","NEU","MIS","HUST","汉语言",0,4,0,0,0,0,0,0,0,"Northeastern University","Northeastern University","Others","Others","EastCoast","Top100~500","MIS",325,3.3,"322~325","102~106","<=3.4"
610,"红茶香槟可乐",17,101,"320","","","3.5"," 美国","Fall","MS","Admitted","CS@NEU","  @ FDU",3.2,"","320 3.5","","","NEU","CS","FDU","",0,4,0,0,0,0,0,0,0,"Northeastern University","Northeastern University","Others","Others","EastCoast","Top100","CS",320,3.2,"319~322","98~102","<=3.4"
619,"庸人自挠火",17,104,"324","","","4"," 美国","Fall","MS","Admitted","ME@TAMU"," Mechtronical @ WUST",3.51,"","324 aw 4.0","","","TAMU","ME","WUST","Mechtronical",0,4,0,0,0,0,0,0,0,"Texas A&M University","Texas A&M University","Others","Others","GulfCoast","Others","ME",324,3.51,"322~325","102~106","3.4~3.55"
650,"nightlyjourney",17,104,"321","","","3"," 美国","Fall","MS","Admitted","CS@CS@Purdue"," EE @ BUPT",85,"","104",""," PU本校教授推荐信+海外牛推","Purdue","CS","BUPT","EE",0,100,1,0,1,0,0,0,0,"Purdue University","Purdue University","Others","Others","MidWest","Others","CS",321,3.4,"319~322","102~106","<=3.4"
654,"ffy",17,105,"319","149","170","3.5"," 美国","Fall","PhD","Admitted","EE@University of Maryland"," EE @ BUPT",3.6,": EE @ BUPT, GPA  3.5/4.0:","149+170+3.5",""," 无牛推","University of Maryland","EE","BUPT","EE",1,4,0,0,0,0,0,0,0,"University of Maryland","University of Maryland","Others","Others","EastCoast","Others","EE",319,3.6,"<=319","102~106","3.55~3.7"
671,"unijun",17,102,"324","154","170","3.5"," 美国","Fall","MS","Rejected","EE@UCLA"," 通信工程 @ SHU",3.55,"","154+170+3.5",""," 无","UCLA","EE","SHU","EE",0,4,0,0,0,0,0,0,0,"University of California","University of California","Top10_50","Top50","WestCoast, AK, HI","Top100~500","EE",324,3.55,"322~325","98~102","3.4~3.55"
689,"karenH",17,92,"322","","","3"," 美国","Fall","MS","Admitted","CivilEng@Georgia Institute of Technology"," 环科 @ 河海",3.62,"","322+3","","","Georgia Institute of Technology","CivilEng","河海","环科",0,4,0,0,0,0,0,0,0,"Georgia Institute of Technology","Georgia Institute of Technology","Others","Others","EastCoast","Others","CivilEng",322,3.62,"319~322","<=98","3.55~3.7"
691,"冬夜里的篝火",17,99,"315","145","170","315"," 美国","Fall","MS","Admitted","CS@Iowa State University"," 软件工程 @ 中山大学",3.1,"","145+170=315","","","Iowa State University","CS","中山大学","SE",0,4,0,0,0,0,0,0,0,"Iowa State University","Iowa State University","Others","Others","MidWest","Top100~500","CS",315,3.1,"<=319","98~102","<=3.4"
734,"Xhine",17,109,"332","","","3.5"," 美国","Fall","MS","Admitted","CS@CMU"," 电气 @ XJTU",90,"","332+3.5",""," 第二专业ACCA,ucsd交流一学期","CMU","CS","XJTU","电气",0,100,0,1,1,0,0,0,1,"Carnegie Mellon University","Carnegie Mellon University","Top10_50","Top50","EastCoast","Top100~500","CS",332,3.6,">325",">106","3.55~3.7"
746,"Xhine",17,109,"332","","","3.5"," 美国","Fall","MS","Rejected","EE@UCLA"," 电气 @ XJTU",90,"","332+3.5",""," ucsd交流一学期","UCLA","EE","XJTU","电气",0,100,0,1,1,0,0,0,1,"University of California","University of California","Top10_50","Top50","WestCoast, AK, HI","Top100~500","EE",332,3.6,">325",">106","3.55~3.7"
750,"kk99",17,102,"323","155","168","4"," 美国","Fall","MS","Admitted","EE@UPenn"," EE @ 哈尔滨工程大学",3.3,"","155+168+4","","","UPenn","EE","哈尔滨工程大学","EE",1,4,0,0,0,0,0,0,0,"University of Pennsylvania","University of Pennsylvania","Top10_50","Top50","EastCoast","Others","EE",323,3.3,"322~325","98~102","<=3.4"
786,"unijun",18,102,"324","154","170","3.5"," 美国","Spring","MS","Admitted","EE@USC"," 通信工程 @ SHU",3.55,"","154+170+3.5","","","USC","EE","SHU","EE",0,4,0,0,0,0,0,0,0,"University of Southern California","University of Southern California","Others","Others","WestCoast, AK, HI","Top100~500","EE",324,3.55,"322~325","98~102","3.4~3.55"
790,"jasoncool",17,101,"328","160","168","3.5"," 美国","Fall","MS","Admitted","CS@Syracuse University"," Major:Accounting Minor:MIS @ 江浙某财经",90.01,"","160+168,3.5 GMAT 710",""," 四大，几段金融实习，几个奖学金","Syracuse University","CS","江浙某财经","Major:Accounting Minor:MIS",0,100,0,1,0,0,0,0,0,"Syracuse University","Syracuse University","Others","Others","EastCoast","Others","CS",328,3.6004,">325","98~102","3.55~3.7"
791,"fengqifight",17,110,"326","","","3"," 美国","Fall","MS","Admitted","EE@NEU"," EE @ BIT",82,"","326+3","","","NEU","EE","BIT","EE",1,100,0,0,0,0,0,0,0,"Northeastern University","Northeastern University","Others","Others","EastCoast","Top100~500","EE",326,3.28,">325",">106","<=3.4"
804,"tanbowen",17,102,"325","160","165","3.5"," 美国","Fall","MS","Admitted","CS@CIS@Upenn"," 材料物理（主修） 信息与计算（双专业） @ 中山大学",91.1,"","160 165 3.5",""," CMU实习，极水论文期刊","Upenn","CS","中山大学","材料物理（主修） 信息与计算（双专业）",0,100,0,1,0,1,0,0,0,"University of Pennsylvania","University of Pennsylvania","Top10_50","Top50","EastCoast","Top100~500","CS",325,3.644,"322~325","98~102","3.55~3.7"
861,"583066976",17,102,"324","154","170","3.5"," 美国","Fall","PhD","Admitted","ME@Aerospace@TAMU"," 机械 @ 华中科技大学",3.79,"","324","","","TAMU","ME","华中科技大学","ME",0,4,0,0,0,0,0,0,0,"Texas A&M University","Texas A&M University","Others","Others","GulfCoast","Top100~500","ME",324,3.79,"322~325","98~102",">3.7"
871,"wangyanmx",17,105,"324","156","168","3"," 美国","Fall","MS","Admitted","CS@Brown"," CS @ 港本",3.7,"","156+168+3","","","Brown","CS","港本","CS",1,4,0,0,0,0,0,0,0,"Brown University","Brown University","Top10_50","Top50","EastCoast","Others","CS",324,3.7,"322~325","102~106","3.55~3.7"
873,"jiajian1229",17,103,"328","","","3.5"," 美国","Fall","MS","Rejected","CS@cs@unc"," 交通工程 @ seu",3.77,"","328 3.5","","","unc","CS","seu","交通工程",0,4,0,0,0,0,0,0,0,"University of Northern Colorado","University of Northern Colorado","Others","Others","RockyMountains","Others","CS",328,3.77,">325","102~106",">3.7"
885,"Jaaames",17,108,"328","158","170","3.5"," 美国","Fall","MS","Rejected","IEOR@Columbia University"," IE @ THU",3.55,"","158+170+3.5","","","Columbia University","IEOR","THU","IEOR",0,4,0,0,0,0,0,0,0,"Columbia University","Columbia University","Top10_50","Top50","EastCoast","Top100","IEOR",328,3.55,">325",">106","3.4~3.55"
888,"caterady",17,104,"332","","",""," 美国","Fall","MS","Admitted","MFE/Fin/FinMath@msmf@USC"," 华罗庚班 @ 北航",3.85,"","332","","","USC","MFE/Fin/FinMath","北航","华罗庚班",0,4,0,0,0,0,0,0,0,"University of Southern California","University of Southern California","Others","Others","WestCoast, AK, HI","Others","MFE/Fin/FinMath",332,3.85,">325","102~106",">3.7"
889,"二院老同志",17,107,"323","","","3"," 美国","Fall","MS","Rejected","CS@Brandeis"," 光电信息科学与工程 @ 天津大学",3.45,"","323+3","","","Brandeis","CS","天津大学","光电信息科学与工程",0,4,0,0,0,0,0,0,0,"Brandeis University","Brandeis University","Others","Others","EastCoast","Top100~500","CS",323,3.45,"322~325",">106","3.4~3.55"
891,"蜗牛爬爬",17,103,"312","150","162","3"," 美国","Fall","MS","Admitted","CE@UIUC"," EE @ SEU",89.5,"","150+162+3","","","UIUC","CE","SEU","EE",0,100,0,0,0,0,0,0,0,"University of Illinois at Urbana-Champaign","University of Illinois at Urbana-Champaign","Others","Others","MidWest","Others","CE",312,3.58,"<=319","102~106","3.55~3.7"
933,"nickmath",17,108,"321","","",""," 美国","Fall","MS","Rejected","CS@UPenn"," CS @ WHU",88.2,"","321","","","UPenn","CS","WHU","CS",1,100,0,0,0,0,0,0,0,"University of Pennsylvania","University of Pennsylvania","Top10_50","Top50","EastCoast","Top100~500","CS",321,3.528,"319~322",">106","3.4~3.55"
937,"ttsyg",17,102,"320","150","170","4"," 美国","Fall","MS","Rejected","CS@UW-Madison"," 软件工程 @ 同济",90.17,"","V150, Q170, AW4","","德国水实习，一年半MS工作经验，WWDC 15 Scholarship。两封课程老师推荐信，一封实习老板德国人推荐信","UW-Madison","CS","同济","SE",0,100,0,1,0,0,0,0,0,"University of Wisconsin–Madison","University of Wisconsin–Madison","Others","Others","MidWest","Top100~500","CS",320,3.6068,"319~322","98~102","3.55~3.7"
943,"ElinsLee",17,109,"324","156","168","3"," 美国","Fall","MS","Admitted","CS@CS@NEU"," EE @ SJTU",3.63,": EE @ SJTU, GPA  3.6:","156+168+3.0","","","NEU","CS","SJTU","EE",0,4,0,0,0,0,0,0,0,"Northeastern University","Northeastern University","Others","Others","EastCoast","Top100","CS",324,3.63,"322~325",">106","3.55~3.7"
